1,10,10-dimethyl-2,6-bis(methylene)-dicyclo[7.2.0]undecane
2,(4R)-4-[(E,3R)-3-hydroxybut-1-enyl]-3,5,5-trimethylcyclohex-2-en-1-one
3,ardisianoside K_qt
5,(2-hydroxyphenyl)methyl benzoate
8,Methylsyringol
9,triterpenoid glycoside 1_qt
11,decahydro-2,2,4,8-tetramethyl-4,8-methano-azulen-9-ol
12,(3R,5S)-3,5-dimethyltetrahydrofuran-2-one
14,1H-benzocycloheptene,2,4a,5,6,7,8,9,9a-octahydro-3,3,5-trimethyl-9-methylene-,(4aS-cis)-
20,triterpene glycoside 4_qt
22,triterpenoid glycoside 3_qt
23,2,5-dihydroxy-3-[(10Z)-pentadec-10-en-1-yl][1,4]benzoquinone
24,2,5-Dihydroxy-3-[(10Z)-pentadec-10-en-1-yl]cyclohexa-2,5-diene-1,4-dione
25,2H-benz[e]indol-2-one,1,3,3a,4,5,9b-hexahydro-
26,2-hydroxy-5-methoxy-3-pentadecaenylbenzoquinone
27,2-methyl-5-(1-methylethylidene)-cyclo-hexanone
28,Isomatsutakeol
31,(E)-3,4-dimethylhex-3-en-2-one
34,3-methoxy-1-ethenyl-cyclopentene
35,2-isopropyl-3-methyl-1-cyclohex-2-enone
37,5-ethoxy-2-hydroxy-3-[(10Z)-pentadec-10-en-1-yl][1,4]benzoquinone
38,5-ethoxy-2-hydroxy-3-[(8Z)-tridec-8-en-1-yl][1,4]benzoquinone
39,(E)-5-methyloct-5-en-1-ol
45,CAM
53,()-Aromadendrene
61,ZINC00896812
